iter	Passed	Remaining
0	1	110
1	2	103
2	3	97
3	3	90
4	4	89
5	5	87
6	6	89
7	7	87
8	8	86
9	9	85
10	10	84
11	11	83
12	12	82
13	13	80
14	14	79
15	14	78
16	15	77
17	16	76
18	17	75
19	18	74
20	19	73
21	20	72
22	21	72
23	22	70
24	23	69
25	24	68
26	25	68
27	26	67
28	27	66
29	28	65
30	29	64
31	30	63
32	31	62
33	31	62
34	33	61
35	34	60
36	35	59
37	35	58
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	48
48	46	48
49	47	47
50	48	46
51	49	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	88	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
